Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2016","Lyme disease, Cum 2016, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Meningococcal disease, invasive§, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2016","Meningococcal disease, invasive§, All serogroups, Cum 2016, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag",Location 1,Location 2
CALIFORNIA,2016,45,,-,1,,5,,49,,95,,,-,2,,5,,82,,89,,,-,1,,6,,66,,43,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2016,45,,-,0,,24,,13,,,-,1,,0,,21,,36,,,-,,-,0,,10,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2016,45,,-,0,,0,,,-,8,,,-,1,,4,,36,,46,,,-,0,,3,,13,,13,,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2016,45,,-,55,,231,,3517,,4558,,,-,1,,6,,66,,75,,,-,0,,2,,6,,6,,"NEW JERSEY
(40.104655, -74.386686)",
IOWA,2016,45,,-,2,,20,,205,,308,,,-,0,,3,,17,,16,,,-,0,,1,,2,,5,,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2016,45,,-,0,,16,,,-,1758,,,-,0,,3,,,-,34,,,-,0,,1,,1,,7,,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2016,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEVADA,2016,45,,-,0,,1,,2,,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,1,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2016,45,,-,0,,1,,1,,,-,,-,0,,1,,2,,3,,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2016,45,35,,44,,242,,2967,,2951,,1,,1,,8,,58,,44,,,-,0,,1,,7,,7,,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2016,45,,-,4,,28,,275,,266,,,-,0,,1,,1,,2,,,-,0,,2,,3,,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2016,45,,-,2,,14,,150,,148,,2,,0,,13,,52,,36,,,-,0,,2,,6,,15,,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2016,45,,-,0,,0,,,-,3,,,-,0,,1,,7,,11,,,-,0,,1,,3,,5,,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2016,45,,-,9,,63,,811,,529,,,-,0,,2,,12,,6,,,-,0,,0,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MID. ATLANTIC,2016,45,83,,261,,1155,,18270,,16808,,5,,8,,22,,389,,333,,,-,0,,4,,30,,29,,,
ILLINOIS,2016,45,,-,2,,28,,213,,283,,,-,1,,4,,49,,43,,,-,0,,2,,14,,15,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2016,45,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,,-,0,,0,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MAINE,2016,45,,-,14,,96,,1140,,1114,,,-,0,,1,,8,,7,,,-,0,,1,,1,,4,,"MAINE
(45.252223, -68.986647)",
HAWAII,2016,45,,N,0,,0,,,N,,N,,-,0,,1,,1,,1,,,-,0,,1,,1,,4,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2016,45,,-,1,,3,,38,,23,,,-,0,,1,,9,,10,,,-,0,,1,,5,,5,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,45,,-,0,,5,,27,,32,,,-,0,,1,,6,,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2016,45,,-,12,,77,,657,,765,,,-,0,,3,,8,,10,,,-,0,,1,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2016,45,1,,0,,2,,18,,22,,,-,0,,2,,14,,12,,,-,0,,1,,9,,2,,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2016,45,6,,25,,110,,1522,,1566,,3,,3,,10,,163,,105,,,-,0,,1,,2,,2,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK CITY,2016,45,8,,4,,563,,853,,863,,4,,4,,17,,213,,177,,,-,0,,2,,10,,8,,NEW YORK CITY,
FLORIDA,2016,45,3,,3,,14,,171,,140,,1,,1,,4,,62,,34,,2,,0,,2,,15,,21,,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2016,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,21,,,-,0,,1,,4,,4,,"COLORADO
(38.841772, -106.132562)",
PACIFIC,2016,45,,-,2,,24,,123,,135,,1,,3,,22,,137,,109,,1,,2,,11,,98,,76,,,
KANSAS,2016,45,,-,0,,3,,33,,21,,,-,0,,1,,5,,6,,,-,0,,1,,4,,5,,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2016,45,1,,2,,17,,176,,135,,,-,0,,3,,27,,14,,,-,0,,1,,5,,7,,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2016,45,,-,0,,2,,11,,11,,,-,0,,1,,7,,4,,,-,0,,1,,4,,2,,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2016,45,1,,1,,4,,42,,45,,1,,2,,9,,107,,78,,,-,0,,3,,18,,24,,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2016,45,,-,0,,4,,22,,48,,,-,0,,1,,5,,4,,,-,0,,1,,1,,2,,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2016,45,18,,70,,199,,3589,,3992,,4,,8,,23,,382,,287,,2,,1,,4,,52,,57,,,
SOUTH DAKOTA,2016,45,,-,0,,3,,11,,5,,,-,0,,1,,4,,3,,,-,0,,1,,1,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
E.S. CENTRAL,2016,45,1,,1,,6,,78,,96,,,-,1,,2,,33,,27,,,-,0,,2,,15,,9,,,
VIRGINIA,2016,45,3,,24,,120,,961,,1254,,,-,1,,4,,59,,57,,,-,0,,2,,9,,10,,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2016,45,,-,4,,18,,204,,203,,,-,0,,4,,30,,23,,,-,0,,1,,2,,4,,"NORTH CAROLINA
(35.47995, -79.180571)",
AMER. SAMOA,2016,45,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
W.N. CENTRAL,2016,45,,-,4,,26,,287,,2139,,,-,1,,4,,39,,86,,,-,0,,1,,12,,27,,,
MOUNTAIN,2016,45,,-,1,,6,,47,,38,,,-,1,,4,,46,,51,,,-,0,,2,,14,,14,,,
PUERTO RICO,2016,45,,N,0,,0,,,N,,N,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
INDIANA,2016,45,,-,1,,14,,117,,138,,,-,0,,2,,11,,9,,,-,0,,2,,6,,4,,"INDIANA
(39.76845, -86.156212)",
VIRGIN ISL.,2016,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MISSOURI,2016,45,,-,0,,1,,,-,4,,,-,0,,1,,,-,18,,,-,0,,0,,,-,7,,"MISSOURI
(38.636168, -92.566292)",
OREGON,2016,45,,-,1,,4,,48,,31,,,-,0,,3,,16,,16,,1,,0,,3,,17,,25,,"OREGON
(44.567912, -120.156945)",
MONTANA,2016,45,,-,0,,3,,14,,4,,,-,0,,1,,3,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2016,45,,-,16,,152,,1720,,1840,,,-,0,,2,,9,,5,,,-,0,,1,,3,,9,,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2016,45,,-,0,,55,,148,,659,,,-,0,,2,,6,,,-,,-,0,,0,,,-,1,,"VERMONT
(43.622479, -72.51927)",
CONNECTICUT,2016,45,,-,16,,80,,1003,,2419,,,-,0,,1,,1,,11,,,-,0,,1,,1,,5,,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2016,45,,-,0,,3,,16,,7,,,-,0,,2,,,-,4,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
E.N. CENTRAL,2016,45,1,,21,,201,,2376,,2544,,2,,3,,17,,148,,107,,,-,1,,3,,34,,50,,,
PENNSYLVANIA,2016,45,40,,123,,815,,10933,,8436,,,-,1,,5,,52,,37,,,-,0,,2,,7,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2016,45,,-,2,,35,,157,,4090,,,-,1,,6,,75,,46,,,-,0,,2,,8,,9,,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2016,45,6,,8,,22,,390,,400,,,-,0,,2,,11,,3,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
W.S. CENTRAL,2016,45,1,,1,,4,,42,,48,,1,,2,,13,,120,,103,,,-,0,,3,,27,,34,,,
OKLAHOMA,2016,45,,-,0,,0,,,-,,-,,-,0,,5,,4,,6,,,-,0,,1,,4,,3,,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2016,45,,-,0,,0,,,-,,-,,-,0,,1,,2,,8,,,-,0,,1,,2,,2,,"ARKANSAS
(34.748745, -92.275105)",
NEW ENGLAND,2016,46,8,,61,,255,,3971,,9676,,1,,2,,7,,114,,81,,,-,0,,2,,10,,23,,,
LOUISIANA,2016,46,,-,0,,0,,,-,3,,,-,0,,1,,7,,11,,,-,0,,1,,3,,5,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2016,46,,-,0,,3,,14,,5,,,-,0,,1,,3,,1,,,-,0,,1,,2,,,-,"MONTANA
(47.062617, -109.430168)",
IOWA,2016,46,,-,2,,20,,205,,309,,,-,0,,3,,18,,16,,,-,0,,1,,2,,5,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2016,46,,-,0,,4,,22,,49,,,-,0,,1,,5,,4,,,-,0,,1,,1,,3,,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2016,46,,-,0,,16,,,-,1773,,,-,0,,3,,,-,36,,,-,0,,1,,1,,7,,"MINNESOTA
(46.357661, -94.793397)",
IDAHO,2016,46,,-,0,,3,,16,,7,,,-,0,,2,,,-,4,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2016,46,,-,0,,4,,33,,40,,,-,0,,2,,8,,3,,,-,0,,2,,8,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2016,46,,-,0,,2,,11,,12,,,-,0,,4,,37,,13,,,-,0,,1,,3,,5,,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2016,46,2,,1,,4,,44,,45,,,-,2,,9,,109,,80,,,-,0,,3,,18,,24,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2016,46,1,,15,,80,,1004,,2443,,,-,0,,1,,1,,11,,,-,0,,1,,1,,5,,"CONNECTICUT
(41.544654, -72.651713)",
E.N. CENTRAL,2016,46,1,,21,,201,,2382,,2563,,,-,3,,17,,148,,109,,,-,1,,3,,34,,51,,,
NEVADA,2016,46,,-,0,,1,,2,,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,1,,"NEVADA
(39.491833, -117.070159)",
W.S. CENTRAL,2016,46,2,,1,,4,,44,,48,,,-,2,,13,,122,,105,,,-,0,,3,,27,,34,,,
C.N.M.I.,2016,46,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
TENNESSEE,2016,46,,-,0,,2,,18,,22,,,-,0,,2,,14,,12,,,-,0,,1,,9,,2,,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2016,46,4,,7,,22,,395,,409,,,-,0,,2,,11,,3,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2016,46,,-,3,,14,,171,,142,,,-,1,,4,,62,,35,,,-,0,,2,,15,,21,,"FLORIDA
(28.915325, -81.922409)",
PACIFIC,2016,46,1,,2,,24,,124,,135,,1,,3,,22,,139,,111,,,-,2,,11,,98,,78,,,
UTAH,2016,46,,-,0,,1,,3,,7,,,-,0,,2,,5,,4,,,-,0,,1,,2,,2,,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2016,46,,-,4,,18,,204,,209,,,-,0,,4,,30,,24,,,-,0,,1,,2,,4,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2016,46,,-,2,,28,,213,,284,,,-,1,,4,,49,,45,,,-,0,,2,,14,,15,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2016,46,,-,0,,55,,148,,669,,,-,0,,2,,6,,,-,,-,0,,0,,,-,1,,"VERMONT
(43.622479, -72.51927)",
ALASKA,2016,46,1,,0,,2,,14,,9,,,-,0,,1,,2,,3,,,-,0,,2,,6,,4,,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2016,46,,-,0,,2,,12,,11,,,-,0,,1,,7,,4,,,-,0,,1,,4,,2,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2016,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
INDIANA,2016,46,,-,1,,14,,117,,138,,,-,0,,2,,11,,9,,,-,0,,2,,6,,4,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2016,46,,-,0,,5,,27,,32,,,-,0,,1,,6,,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2016,46,,-,43,,242,,2967,,2995,,2,,1,,8,,60,,51,,,-,0,,1,,7,,7,,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2016,46,1,,1,,3,,39,,23,,,-,0,,1,,9,,10,,,-,0,,1,,5,,6,,"ALABAMA
(32.839182, -86.631125)",
AMER. SAMOA,2016,46,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
GUAM,2016,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PENNSYLVANIA,2016,46,39,,132,,815,,11126,,8565,,1,,1,,5,,53,,37,,,-,0,,2,,7,,9,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2016,46,,-,1,,4,,48,,31,,,-,0,,3,,16,,17,,,-,0,,3,,17,,27,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2016,46,,-,0,,1,,1,,,-,,-,0,,1,,2,,3,,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2016,46,,-,0,,0,,,-,8,,,-,1,,4,,36,,47,,,-,0,,3,,13,,15,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2016,46,,N,0,,0,,,N,,N,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2016,46,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,,-,0,,0,,,-,1,,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2016,46,,-,0,,3,,11,,5,,,-,0,,1,,4,,4,,,-,0,,1,,1,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2016,46,,N,0,,0,,,N,,N,,-,0,,1,,1,,1,,,-,0,,1,,1,,4,,"HAWAII
(21.30992, -157.858158)",
S. ATLANTIC,2016,46,20,,69,,199,,3674,,4063,,3,,8,,23,,386,,295,,,-,1,,4,,53,,59,,,
RHODE ISLAND,2016,46,7,,12,,77,,695,,781,,,-,0,,3,,8,,10,,,-,0,,1,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,46,,-,2,,35,,162,,4125,,1,,1,,6,,79,,47,,,-,0,,2,,8,,9,,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2016,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,21,,,-,0,,1,,4,,4,,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2016,46,4,,23,,120,,968,,1278,,,-,1,,4,,59,,59,,,-,0,,2,,9,,10,,"VIRGINIA
(37.542699, -78.45822)",
WASHINGTON,2016,46,,-,0,,24,,13,,,-,1,,0,,21,,37,,,-,,-,0,,10,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2016,46,,-,4,,28,,288,,270,,,-,0,,1,,1,,2,,,-,0,,2,,4,,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2016,46,,-,0,,1,,1,,3,,,-,0,,1,,5,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2016,46,,-,2,,17,,180,,138,,,-,0,,3,,27,,14,,,-,0,,1,,5,,7,,"MICHIGAN
(44.66399, -84.711206)",
MID. ATLANTIC,2016,46,39,,255,,1155,,18463,,17043,,3,,8,,22,,392,,346,,,-,0,,4,,30,,31,,,
DIST. OF COL.,2016,46,,-,0,,4,,33,,116,,,-,0,,3,,13,,15,,,-,0,,0,,,-,3,,DIST. OF COL.,
MAINE,2016,46,,-,14,,95,,1151,,1129,,,-,0,,1,,8,,7,,,-,0,,1,,1,,4,,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2016,46,,-,54,,231,,3517,,4606,,,-,1,,6,,66,,77,,,-,0,,2,,6,,7,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2016,46,,-,1,,5,,49,,95,,,-,2,,5,,83,,90,,,-,1,,6,,66,,43,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2016,46,12,,25,,110,,1582,,1591,,3,,3,,10,,166,,107,,,-,0,,1,,2,,2,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2016,46,,-,0,,0,,,-,,-,,-,0,,1,,2,,8,,,-,0,,1,,2,,2,,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2016,46,72,,447,,1785,,29073,,35819,,8,,30,,77,,1422,,1214,,,-,6,,20,,294,,328,,,
MOUNTAIN,2016,46,,-,1,,6,,47,,39,,,-,1,,4,,48,,51,,,-,0,,2,,15,,14,,,
WISCONSIN,2016,46,,-,16,,152,,1720,,1853,,,-,0,,2,,9,,5,,,-,0,,1,,3,,9,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2016,46,1,,2,,14,,152,,150,,,-,0,,13,,52,,36,,,-,0,,2,,6,,16,,"OHIO
(40.056807, -82.405897)",
E.S. CENTRAL,2016,46,1,,1,,6,,80,,97,,,-,1,,2,,33,,27,,,-,0,,2,,15,,11,,,
