Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014, flag",Location 1,Location 2
MASSACHUSETTS,2015,7,,-,0,,3,,,-,,-,,-,8,,43,,,-,1,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
NORTH DAKOTA,2015,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
SOUTH DAKOTA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
FLORIDA,2015,5,,-,0,,3,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
NEBRASKA,2015,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
ALASKA,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
GEORGIA,2015,13,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
NEW YORK,2015,10,,-,1,,12,,,-,1,,,-,7,,34,,4,,7,,,-,0,,1,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
PENNSYLVANIA,2015,16,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
IDAHO,2015,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
COLORADO,2015,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
VIRGINIA,2015,1,,-,0,,9,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
IDAHO,2015,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
INDIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,0,,5,,3,,1,,"INDIANA
(39.766913, -86.149956)",
OREGON,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
