 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
SOUTH DAKOTA,2017,33,,-,2,,6,,57,,75,,,-,22,,36,,497,,787,,,-,0,,2,,9,,15,,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,33,15,,10,,15,,285,,270,,115,,140,,184,,4370,,3474,,4,,1,,5,,57,,46,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,33,,-,3,,9,,79,,131,,96,,206,,287,,6963,,5809,,,-,2,,9,,53,,69,,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,33,,N,0,,0,,,N,,N,903,,865,,1212,,28893,,26462,,4,,6,,38,,212,,188,,"TEXAS
(31.827233, -99.423022)",
E.S. CENTRAL,2017,33,,-,3,,10,,96,,149,,262,,660,,884,,20802,,18947,,1,,7,,12,,221,,228,,,
WEST VIRGINIA,2017,33,,-,1,,5,,15,,59,,30,,22,,38,,827,,531,,,-,1,,3,,22,,24,,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,33,,N,0,,0,,,N,,N,33,,137,,196,,4174,,4721,,2,,2,,8,,70,,51,,"OKLAHOMA
(35.468494, -97.521264)",
AMER. SAMOA,2017,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,33,1,,47,,78,,1295,,1721,,1281,,2083,,3743,,66519,,63207,,1,,21,,39,,722,,756,,,
OREGON,2017,33,6,,6,,18,,185,,209,,105,,90,,130,,2949,,2463,,,-,2,,7,,77,,56,,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2017,33,32,,55,,78,,1826,,1658,,790,,1377,,1590,,45146,,38778,,,-,1,,4,,34,,28,,"CALIFORNIA
(37.640735, -121.002435)",
PACIFIC,2017,33,43,,67,,727,,2345,,1939,,1038,,1674,,2000,,54570,,47951,,1,,4,,13,,144,,123,,,
KENTUCKY,2017,33,,N,0,,0,,,N,,N,,-,131,,275,,4270,,2871,,1,,1,,6,,51,,31,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2017,33,,-,5,,13,,131,,155,,23,,59,,92,,1969,,1585,,,-,0,,1,,1,,,-,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2017,33,4,,2,,6,,79,,85,,28,,47,,77,,1587,,1307,,,-,1,,4,,30,,22,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2017,33,,-,0,,1,,3,,19,,3,,12,,24,,338,,475,,,-,0,,2,,3,,5,,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,33,,-,13,,23,,344,,476,,131,,414,,487,,13182,,12697,,,-,4,,10,,127,,127,,"GEORGIA
(32.836038, -83.631709)",
GUAM,2017,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2017,33,1,,5,,23,,139,,182,,252,,234,,1530,,8196,,6897,,,-,2,,15,,87,,83,,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2017,33,6,,3,,18,,81,,96,,122,,91,,215,,2622,,3192,,,-,1,,4,,38,,33,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK CITY,2017,33,20,,18,,34,,574,,562,,287,,432,,518,,14562,,11313,,3,,1,,6,,66,,72,,,
FLORIDA,2017,33,,-,20,,34,,625,,726,,365,,602,,903,,19652,,17208,,1,,5,,11,,181,,231,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2017,33,,-,3,,7,,92,,82,,127,,213,,367,,6888,,6003,,2,,2,,8,,93,,84,,"ARIZONA
(34.869712, -111.760902)",
E.N. CENTRAL,2017,33,31,,28,,150,,824,,1016,,521,,1336,,1603,,40846,,42488,,3,,15,,36,,497,,525,,,
W.N. CENTRAL,2017,33,10,,18,,56,,494,,1042,,294,,576,,678,,19049,,16370,,2,,6,,18,,184,,276,,,
ALABAMA,2017,33,,-,3,,10,,96,,149,,,-,160,,258,,5388,,5662,,,-,1,,4,,38,,58,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2017,33,27,,5,,135,,247,,199,,231,,434,,486,,13997,,12384,,3,,4,,8,,140,,116,,"OHIO
(40.056807, -82.405897)",
IDAHO,2017,33,4,,3,,8,,91,,117,,,-,14,,39,,517,,416,,,-,0,,3,,17,,23,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,33,,-,3,,11,,85,,142,,187,,170,,398,,5126,,5154,,,-,2,,11,,62,,81,,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,33,1,,1,,5,,56,,72,,3,,11,,24,,334,,234,,,-,0,,2,,15,,12,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2017,33,,-,0,,10,,9,,124,,106,,228,,517,,7825,,6372,,,-,1,,4,,38,,44,,"LOUISIANA
(31.2931, -92.463284)",
NEW MEXICO,2017,33,,-,2,,9,,45,,40,,17,,74,,130,,2416,,2027,,,-,1,,3,,29,,36,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,33,,N,0,,0,,,N,,N,24,,305,,483,,8359,,13047,,,-,4,,12,,132,,134,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,33,,-,0,,3,,7,,28,,1,,6,,13,,191,,157,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2017,33,6,,5,,13,,168,,219,,210,,241,,304,,8129,,7033,,1,,2,,9,,91,,108,,"MISSOURI
(38.636168, -92.566292)",
KANSAS,2017,33,,-,1,,4,,45,,74,,23,,78,,108,,2696,,1947,,,-,1,,5,,36,,41,,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2017,33,,-,1,,9,,23,,39,,31,,9,,213,,481,,330,,,-,0,,12,,10,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
NEVADA,2017,33,,-,1,,4,,19,,45,,1,,88,,127,,2509,,2540,,,-,1,,3,,25,,23,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,34,,-,0,,0,,,-,,-,,-,0,,3,,8,,29,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,34,,N,0,,0,,,N,,N,23,,291,,483,,8648,,13520,,,-,4,,12,,138,,136,,"ILLINOIS
(40.477092, -88.993221)",
NEW YORK,2017,34,26,,15,,42,,491,,588,,182,,199,,531,,6495,,5863,,6,,4,,15,,174,,150,,"NEW YORK
(42.826892, -75.544286)",
MID. ATLANTIC,2017,34,57,,51,,98,,1554,,1833,,724,,1133,,1358,,38621,,32041,,10,,14,,29,,502,,488,,,
MOUNTAIN,2017,34,14,,24,,42,,732,,780,,236,,587,,768,,19370,,17098,,2,,8,,19,,283,,251,,,
IDAHO,2017,34,,-,3,,9,,94,,122,,24,,15,,39,,589,,429,,,-,0,,3,,17,,23,,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,34,,-,1,,5,,16,,63,,32,,22,,38,,861,,552,,,-,1,,3,,22,,24,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,34,,-,0,,0,,,-,,-,,-,395,,440,,8933,,12426,,1,,3,,10,,115,,125,,"NORTH CAROLINA
(35.47995, -79.180571)",
AMER. SAMOA,2017,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,34,22,,55,,75,,1836,,1719,,800,,1379,,1590,,46692,,40095,,,-,1,,4,,37,,30,,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2017,34,,-,10,,21,,304,,372,,100,,125,,187,,4557,,2883,,,-,2,,10,,87,,95,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,34,,-,6,,15,,160,,297,,76,,171,,223,,5698,,5195,,,-,3,,7,,86,,90,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2017,34,,N,0,,0,,,N,,N,33,,136,,196,,4375,,4875,,2,,2,,8,,72,,51,,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,34,,-,0,,3,,16,,9,,43,,34,,59,,1120,,988,,,-,0,,3,,17,,12,,"DELAWARE
(39.008676, -75.574561)",
IOWA,2017,34,,-,5,,12,,131,,167,,,-,59,,92,,1969,,1632,,,-,0,,1,,1,,,-,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,34,,-,0,,4,,17,,32,,4,,16,,34,,489,,638,,,-,0,,2,,12,,19,,"NORTH DAKOTA
(47.475879, -100.121011)",
DIST. OF COL.,2017,34,,-,0,,3,,11,,39,,33,,84,,207,,3067,,1997,,,-,0,,1,,8,,12,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2017,34,1,,3,,18,,82,,100,,,-,91,,215,,2622,,3298,,1,,1,,4,,39,,33,,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2017,34,,-,3,,10,,105,,156,,,-,159,,258,,5388,,5897,,,-,1,,4,,44,,60,,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,34,,-,1,,4,,19,,48,,,-,88,,127,,2526,,2648,,,-,1,,3,,25,,23,,"NEVADA
(39.491833, -117.070159)",
W.S. CENTRAL,2017,34,1,,4,,20,,91,,226,,1015,,1343,,1702,,44783,,42165,,5,,10,,48,,369,,320,,,
VERMONT,2017,34,,N,0,,0,,,N,,N,,-,2,,10,,71,,88,,,-,0,,2,,8,,8,,"VERMONT
(43.622479, -72.51927)",
S. ATLANTIC,2017,34,7,,47,,78,,1314,,1786,,977,,2082,,3743,,68651,,65507,,9,,21,,39,,751,,763,,,
NEW ENGLAND,2017,34,3,,20,,36,,570,,733,,182,,225,,440,,7588,,5324,,,-,5,,17,,176,,181,,,
MARYLAND,2017,34,2,,3,,8,,93,,148,,105,,170,,398,,5332,,5392,,4,,2,,11,,72,,83,,"MARYLAND
(39.290443, -76.612333)",
OHIO,2017,34,,-,5,,135,,247,,204,,,-,434,,486,,13997,,12835,,,-,4,,8,,140,,118,,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,34,8,,9,,36,,306,,361,,238,,303,,535,,11441,,9247,,2,,5,,11,,174,,173,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2017,34,1,,1,,5,,39,,45,,15,,39,,55,,1313,,874,,,-,0,,1,,10,,14,,"ALASKA
(64.836661, -147.738891)",
PUERTO RICO,2017,34,,-,0,,1,,3,,20,,3,,11,,24,,346,,489,,,-,0,,2,,3,,5,,"PUERTO RICO
(18.215692, -66.414655)",
PACIFIC,2017,34,46,,67,,727,,2387,,2006,,1046,,1681,,2000,,56439,,49617,,2,,4,,13,,149,,128,,,
ARIZONA,2017,34,,-,3,,7,,96,,85,,185,,216,,379,,7192,,6221,,1,,2,,8,,94,,86,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2017,34,,-,20,,34,,625,,758,,264,,609,,903,,20223,,17822,,2,,5,,11,,183,,233,,"FLORIDA
(28.915325, -81.922409)",
RHODE ISLAND,2017,34,,-,1,,9,,23,,40,,72,,9,,213,,555,,331,,,-,0,,12,,10,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,34,,N,0,,0,,,N,,N,189,,143,,335,,4623,,4349,,,-,1,,4,,38,,39,,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2017,34,,-,0,,3,,7,,28,,1,,6,,13,,202,,166,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2017,34,1,,2,,6,,80,,87,,21,,47,,77,,1625,,1349,,,-,1,,4,,30,,22,,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2017,34,5,,6,,18,,198,,214,,80,,91,,130,,3028,,2553,,2,,2,,7,,79,,57,,"OREGON
(44.567912, -120.156945)",
KENTUCKY,2017,34,,N,0,,0,,,N,,N,140,,130,,275,,4443,,3000,,2,,1,,6,,53,,34,,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2017,34,130,,259,,983,,8035,,9720,,4973,,9708,,12294,,318696,,292366,,34,,97,,215,,3161,,3188,,,
VIRGINIA,2017,34,5,,5,,23,,146,,189,,201,,240,,1530,,8395,,7176,,1,,2,,15,,92,,83,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,34,,-,2,,6,,57,,78,,,-,22,,36,,497,,814,,,-,0,,2,,10,,16,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,34,3,,2,,8,,60,,81,,,-,8,,32,,290,,304,,,-,0,,2,,19,,21,,"MAINE
(45.252223, -68.986647)",
COLORADO,2017,34,14,,10,,15,,299,,281,,,-,139,,184,,4370,,3596,,,-,1,,5,,57,,47,,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,34,,N,0,,0,,,N,,N,812,,868,,1211,,29778,,27360,,2,,6,,38,,220,,192,,"TEXAS
(31.827233, -99.423022)",
NEW MEXICO,2017,34,,-,1,,9,,45,,43,,13,,74,,130,,2458,,2094,,1,,1,,3,,32,,37,,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2017,34,,-,3,,9,,104,,103,,,-,46,,65,,1548,,1346,,,-,1,,4,,41,,22,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,34,1,,5,,13,,173,,231,,155,,242,,308,,8334,,7275,,3,,2,,9,,95,,109,,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2017,34,,-,2,,8,,68,,70,,13,,15,,26,,485,,598,,,-,0,,3,,17,,12,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,34,,-,12,,23,,344,,489,,133,,410,,487,,13558,,13144,,1,,4,,10,,134,,128,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,34,,-,7,,107,,195,,424,,103,,135,,170,,4665,,4101,,,-,1,,6,,54,,89,,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,34,,-,1,,5,,41,,28,,,-,28,,50,,835,,892,,,-,0,,3,,19,,27,,"HAWAII
(21.30992, -157.858158)",
NEW YORK CITY,2017,34,23,,18,,34,,597,,587,,228,,435,,518,,14987,,11736,,2,,2,,6,,68,,75,,,
SOUTH CAROLINA,2017,34,,-,2,,8,,63,,91,,166,,205,,289,,7162,,6010,,,-,2,,10,,108,,63,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MICHIGAN,2017,34,,-,9,,26,,251,,345,,39,,254,,337,,7407,,7564,,,-,3,,8,,123,,122,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2017,34,,-,3,,9,,81,,137,,78,,206,,297,,7206,,5976,,,-,2,,9,,54,,72,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,34,,-,2,,4,,50,,76,,8,,78,,109,,2777,,2023,,,-,1,,5,,36,,42,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,34,,-,2,,5,,58,,73,,7,,11,,24,,344,,245,,,-,0,,2,,14,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,34,,N,0,,0,,,N,,N,16,,218,,343,,7291,,6433,,1,,3,,7,,98,,105,,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2017,34,18,,1,,672,,273,,,-,151,,143,,208,,4571,,5203,,,-,0,,9,,4,,,-,"WASHINGTON
(47.517368, -120.467672)",
W.N. CENTRAL,2017,34,2,,19,,51,,508,,1090,,205,,589,,681,,19576,,16939,,3,,6,,18,,189,,282,,,
LOUISIANA,2017,34,,-,0,,10,,9,,126,,170,,228,,517,,8008,,6632,,,-,1,,4,,38,,44,,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2017,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,34,,-,4,,11,,125,,167,,3,,64,,130,,1771,,1473,,,-,1,,4,,38,,40,,"CONNECTICUT
(41.544654, -72.651713)",
MINNESOTA,2017,34,,-,0,,29,,,-,419,,17,,115,,142,,3885,,3208,,,-,0,,7,,5,,74,,"MINNESOTA
(46.357661, -94.793397)",
E.S. CENTRAL,2017,34,,-,3,,10,,105,,156,,345,,660,,931,,21745,,19679,,3,,7,,12,,233,,238,,,
WASHINGTON,2017,35,3,,1,,672,,276,,,-,130,,143,,208,,4701,,5365,,,-,0,,9,,4,,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,35,,-,0,,3,,16,,9,,31,,34,,59,,1151,,1018,,,-,0,,3,,17,,13,,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,35,,-,3,,7,,96,,85,,141,,215,,382,,7343,,6427,,,-,2,,8,,94,,86,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,35,,N,0,,0,,,N,,N,164,,131,,275,,4620,,3144,,,-,1,,6,,53,,37,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,35,,-,1,,9,,23,,48,,23,,10,,213,,589,,331,,,-,0,,12,,10,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2017,35,,-,10,,26,,293,,371,,55,,252,,337,,7695,,7821,,,-,3,,8,,124,,127,,"MICHIGAN
(44.66399, -84.711206)",
W.N. CENTRAL,2017,35,3,,19,,51,,543,,1141,,197,,589,,681,,20180,,17503,,3,,6,,18,,195,,290,,,
SOUTH DAKOTA,2017,35,,-,2,,6,,67,,82,,,-,21,,36,,498,,850,,,-,0,,2,,10,,17,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VERMONT,2017,35,,N,0,,0,,,N,,N,,-,2,,10,,71,,88,,,-,0,,2,,8,,8,,"VERMONT
(43.622479, -72.51927)",
KANSAS,2017,35,,-,2,,4,,56,,79,,7,,79,,109,,2865,,2095,,,-,1,,5,,36,,44,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2017,35,2,,5,,13,,179,,237,,171,,241,,309,,8594,,7517,,3,,3,,9,,99,,112,,"MISSOURI
(38.636168, -92.566292)",
UTAH,2017,35,,-,3,,8,,114,,106,,5,,46,,67,,1631,,1392,,,-,1,,4,,41,,22,,"UTAH
(39.359772, -111.584173)",
OHIO,2017,35,19,,5,,135,,266,,205,,219,,434,,486,,14216,,13285,,3,,4,,8,,143,,121,,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,35,,-,3,,10,,107,,162,,,-,166,,304,,6536,,5955,,,-,1,,4,,44,,61,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,35,5,,3,,18,,88,,104,,,-,88,,215,,2622,,3472,,,-,1,,4,,39,,33,,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,35,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
W.S. CENTRAL,2017,35,5,,4,,20,,97,,237,,1214,,1342,,1704,,46179,,43723,,3,,10,,48,,376,,328,,,
HAWAII,2017,35,,-,1,,5,,41,,29,,1,,28,,50,,896,,920,,,-,0,,3,,19,,28,,"HAWAII
(21.30992, -157.858158)",
NEVADA,2017,35,,-,1,,4,,24,,52,,,-,86,,127,,2533,,2751,,,-,1,,3,,27,,24,,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2017,35,,N,0,,0,,,N,,N,,-,217,,343,,7326,,6650,,,-,3,,7,,98,,105,,"TENNESSEE
(35.681402, -85.774444)",
