 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2018","Giardiasis, Cum 2018, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2018","Gonorrhea, Cum 2018, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), all serotypes, Cum 2018","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2018, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017, flag",Location 1,Location 2
CONNECTICUT,2018,33,1,,4,,11,,112,,130,,,-,87,,6873,,9291,,2322,,,-,1,,6,,16,,48,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2018,33,,N,0,,0,,,N,,N,93,,267,,323,,8071,,7788,,,-,3,,11,,98,,108,,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2018,33,,N,0,,0,,,N,,N,19,,132,,232,,3822,,5633,,2,,2,,19,,66,,70,,"OKLAHOMA
(35.468494, -97.521264)",
MOUNTAIN,2018,33,16,,21,,44,,671,,827,,479,,712,,982,,22048,,21440,,,-,7,,17,,260,,292,,,
UNITED STATES,2018,33,135,,253,,931,,7610,,8840,,6233,,10197,,16958,,325897,,339412,,32,,103,,301,,3298,,3436,,,
MARYLAND,2018,33,2,,3,,8,,89,,95,,,-,192,,340,,5376,,6023,,3,,2,,9,,92,,86,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2018,33,9,,45,,68,,1312,,1636,,217,,1503,,1698,,47308,,46439,,,-,1,,5,,32,,37,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2018,33,,-,2,,5,,58,,67,,43,,96,,131,,3171,,2827,,,-,0,,4,,14,,38,,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2018,33,2,,1,,5,,27,,62,,37,,89,,168,,2915,,2668,,,-,1,,4,,36,,32,,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2018,33,1,,1,,669,,265,,,-,160,,178,,280,,5151,,5840,,,-,0,,7,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2018,33,6,,2,,6,,71,,86,,19,,47,,86,,1627,,1708,,,-,1,,3,,19,,30,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2018,33,,-,1,,2,,21,,32,,,-,74,,147,,1417,,2929,,,-,0,,3,,14,,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2018,33,,-,18,,31,,639,,655,,349,,619,,850,,19542,,20197,,2,,6,,14,,229,,176,,"FLORIDA
(28.915325, -81.922409)",
LOUISIANA,2018,33,,-,0,,12,,5,,118,,60,,230,,329,,6956,,7392,,3,,1,,4,,56,,44,,"LOUISIANA
(31.2931, -92.463284)",
COLORADO,2018,33,9,,10,,22,,320,,305,,153,,165,,260,,4959,,5110,,,-,2,,6,,70,,58,,"COLORADO
(38.841772, -106.132562)",
W.S. CENTRAL,2018,33,1,,4,,17,,72,,195,,1630,,1431,,1858,,40293,,45039,,8,,13,,96,,452,,381,,,
NEW JERSEY,2018,33,,-,5,,15,,133,,249,,55,,164,,251,,4979,,5958,,,-,3,,8,,112,,90,,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2018,33,1,,1,,7,,32,,49,,,-,39,,68,,1085,,1334,,,-,1,,2,,24,,11,,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2018,33,,-,1,,5,,33,,25,,19,,25,,107,,681,,489,,,-,0,,7,,16,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2018,33,2,,4,,10,,148,,169,,293,,276,,361,,9255,,8080,,1,,3,,10,,107,,90,,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2018,33,,-,1,,2,,24,,40,,,-,21,,35,,378,,892,,,-,1,,4,,25,,20,,"HAWAII
(21.30992, -157.858158)",
AMER. SAMOA,2018,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSISSIPPI,2018,34,,N,0,,0,,,N,,N,,-,183,,309,,4754,,5364,,,-,1,,5,,50,,38,,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2018,34,2,,1,,7,,34,,56,,,-,38,,68,,1085,,1395,,,-,1,,2,,24,,12,,"ALASKA
(64.836661, -147.738891)",
WYOMING,2018,34,,-,0,,4,,24,,27,,,-,5,,15,,158,,255,,,-,0,,1,,,-,4,,"WYOMING
(43.23558, -108.110518)",
W.N. CENTRAL,2018,34,8,,18,,41,,512,,1013,,343,,686,,833,,23124,,20549,,1,,5,,14,,174,,264,,,
NORTH DAKOTA,2018,34,,-,1,,4,,30,,23,,1,,19,,32,,671,,592,,,-,0,,2,,12,,9,,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2018,34,,-,1,,7,,44,,73,,14,,20,,36,,722,,472,,,-,0,,2,,13,,16,,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2018,34,,-,1,,4,,29,,63,,38,,89,,168,,3004,,2751,,,-,1,,4,,36,,33,,"NEW MEXICO
(34.520396, -106.244402)",
S. ATLANTIC,2018,34,11,,43,,62,,1372,,1538,,1021,,2172,,3046,,68300,,77676,,5,,23,,58,,798,,821,,,
WISCONSIN,2018,34,11,,10,,46,,340,,347,,95,,148,,210,,4640,,4681,,,-,1,,5,,14,,68,,"WISCONSIN
(44.395526, -89.834513)",
WASHINGTON,2018,34,,-,1,,669,,266,,,-,179,,175,,280,,5330,,6052,,,-,0,,7,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
UNITED STATES,2018,34,169,,256,,931,,8002,,9199,,5022,,10213,,17081,,336481,,350700,,36,,104,,301,,3357,,3513,,,
MICHIGAN,2018,34,,-,7,,19,,229,,370,,92,,293,,394,,9368,,10118,,,-,3,,8,,102,,140,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2018,34,1,,2,,8,,68,,78,,58,,93,,350,,2086,,2967,,,-,1,,11,,40,,39,,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2018,34,,-,1,,2,,23,,40,,,-,21,,35,,378,,915,,,-,1,,4,,26,,20,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2018,34,1,,4,,12,,138,,113,,165,,234,,345,,7818,,7329,,,-,2,,7,,62,,61,,"ALABAMA
(32.839182, -86.631125)",
GUAM,2018,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"GUAM
(13.3532, 144.653198)",
TEXAS,2018,34,,N,0,,0,,,N,,N,810,,939,,1588,,28622,,30131,,4,,8,,66,,294,,231,,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2018,34,16,,45,,68,,1407,,1689,,181,,1506,,1698,,48952,,47978,,,-,1,,5,,33,,39,,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2018,34,,-,0,,2,,1,,17,,,-,31,,76,,947,,1120,,,-,0,,1,,8,,17,,"DELAWARE
(39.008676, -75.574561)",
PACIFIC,2018,34,20,,57,,718,,1947,,2004,,488,,1827,,2189,,59503,,59319,,,-,4,,10,,154,,151,,,
PUERTO RICO,2018,34,,-,0,,2,,,-,15,,,-,8,,18,,291,,466,,,-,0,,0,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
AMER. SAMOA,2018,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OREGON,2018,34,2,,7,,14,,217,,219,,128,,111,,149,,3758,,2979,,,-,2,,7,,63,,80,,"OREGON
(44.567912, -120.156945)",
MID. ATLANTIC,2018,34,64,,52,,75,,1631,,1745,,863,,1139,,1313,,37892,,37786,,17,,16,,38,,543,,553,,,
SOUTH CAROLINA,2018,34,4,,4,,9,,147,,97,,230,,252,,947,,8523,,7180,,,-,2,,6,,81,,132,,"SOUTH CAROLINA
(34.009286, -81.037094)",
E.N. CENTRAL,2018,34,27,,30,,85,,977,,1092,,570,,1435,,1898,,45705,,52876,,4,,19,,36,,534,,587,,,
NORTH CAROLINA,2018,34,,-,0,,0,,,-,,-,1,,432,,511,,13007,,14699,,,-,4,,12,,122,,121,,"NORTH CAROLINA
(35.47995, -79.180571)",
IDAHO,2018,34,2,,2,,8,,70,,101,,14,,19,,40,,599,,588,,,-,0,,2,,12,,16,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2018,34,2,,3,,8,,91,,102,,9,,191,,340,,5557,,6315,,5,,2,,9,,97,,90,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2018,34,,N,0,,0,,,N,,N,25,,132,,232,,4026,,5844,,2,,2,,19,,69,,72,,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2018,34,,-,1,,5,,22,,61,,,-,20,,39,,636,,865,,,-,1,,8,,35,,27,,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2018,34,,-,1,,6,,36,,34,,,-,72,,147,,1417,,3014,,,-,0,,3,,14,,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2018,34,3,,4,,11,,152,,173,,244,,277,,362,,9530,,8320,,,-,3,,10,,109,,94,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2018,34,,N,0,,0,,,N,,N,,-,369,,549,,9646,,15208,,,-,4,,11,,149,,150,,"ILLINOIS
(40.477092, -88.993221)",
MOUNTAIN,2018,34,21,,22,,44,,735,,849,,415,,714,,982,,22875,,22202,,1,,7,,17,,261,,296,,,
KANSAS,2018,34,,-,2,,5,,58,,70,,57,,98,,131,,3300,,2914,,,-,0,,4,,14,,40,,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2018,34,,N,0,,0,,,N,,N,,-,266,,317,,8071,,8022,,,-,3,,11,,98,,110,,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2018,34,2,,2,,8,,95,,96,,193,,251,,401,,7780,,7797,,,-,2,,7,,89,,96,,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2018,34,,-,2,,6,,57,,73,,,-,25,,44,,669,,797,,,-,0,,3,,12,,11,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2018,34,4,,2,,8,,73,,68,,,-,11,,25,,207,,365,,,-,0,,2,,15,,21,,"MAINE
(45.252223, -68.986647)",
CONNECTICUT,2018,34,1,,4,,11,,113,,137,,,-,87,,6873,,9291,,2396,,,-,1,,6,,16,,49,,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2018,34,9,,11,,22,,351,,353,,242,,291,,336,,9652,,9960,,5,,5,,14,,174,,201,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK CITY,2018,34,22,,20,,29,,648,,629,,348,,470,,589,,16081,,15234,,6,,3,,8,,104,,76,,,
LOUISIANA,2018,34,,-,0,,12,,5,,123,,151,,230,,329,,7324,,7573,,,-,1,,4,,56,,45,,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2018,34,,-,2,,5,,62,,65,,7,,12,,24,,397,,348,,,-,0,,3,,17,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2018,34,14,,10,,22,,334,,319,,,-,161,,260,,4959,,5301,,1,,2,,6,,71,,58,,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2018,34,33,,16,,31,,499,,503,,229,,213,,452,,6825,,6444,,6,,5,,24,,152,,179,,"NEW YORK
(42.826892, -75.544286)",
W.S. CENTRAL,2018,34,1,,4,,17,,73,,201,,1044,,1434,,1950,,42058,,46515,,6,,13,,96,,459,,387,,,
NEVADA,2018,34,,-,0,,3,,15,,27,,108,,112,,149,,3807,,3435,,,-,0,,2,,7,,29,,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2018,34,1,,1,,5,,34,,27,,,-,24,,107,,681,,574,,,-,0,,7,,16,,11,,"RHODE ISLAND
(41.707447, -71.522488)",
E.S. CENTRAL,2018,34,1,,4,,12,,138,,113,,165,,687,,1054,,21174,,25353,,2,,7,,22,,282,,259,,,
UTAH,2018,34,3,,3,,11,,124,,143,,48,,51,,148,,1846,,1603,,,-,1,,4,,33,,44,,"UTAH
(39.359772, -111.584173)",
GEORGIA,2018,34,,-,11,,34,,262,,391,,181,,372,,521,,10577,,15222,,,-,3,,14,,133,,145,,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2018,34,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OHIO,2018,34,16,,6,,29,,307,,251,,290,,459,,546,,14547,,15434,,4,,5,,13,,167,,142,,"OHIO
(40.056807, -82.405897)",
NEW ENGLAND,2018,34,16,,20,,41,,617,,644,,113,,302,,7096,,15850,,8424,,,-,5,,20,,152,,195,,,
NEW JERSEY,2018,34,,-,5,,15,,133,,260,,44,,168,,251,,5334,,6148,,,-,3,,8,,113,,97,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2018,34,,-,0,,22,,,-,411,,15,,138,,186,,4582,,4016,,,-,0,,7,,7,,79,,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2018,34,,N,0,,0,,,N,,N,,-,28,,200,,531,,4638,,2,,2,,8,,72,,50,,"KENTUCKY
(37.64591, -84.774043)",
INDIANA,2018,34,,-,3,,8,,101,,124,,93,,235,,302,,7504,,7435,,,-,4,,9,,102,,87,,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2018,34,10,,10,,22,,335,,347,,104,,165,,201,,5236,,4646,,,-,2,,8,,76,,92,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2018,34,5,,5,,31,,174,,162,,216,,217,,430,,7447,,8442,,,-,3,,21,,79,,100,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2018,34,,-,0,,0,,,-,,-,,-,0,,2,,15,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2018,34,,-,18,,31,,639,,674,,384,,619,,850,,20189,,20819,,,-,6,,14,,229,,178,,"FLORIDA
(28.915325, -81.922409)",
IOWA,2018,34,,-,4,,17,,139,,176,,,-,88,,106,,2662,,2159,,,-,0,,1,,,-,1,,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2018,34,5,,2,,6,,76,,87,,26,,47,,86,,1710,,1751,,1,,1,,3,,20,,30,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2018,34,,N,0,,0,,,N,,N,2,,2,,14,,38,,95,,,-,0,,2,,12,,8,,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2018,35,,-,7,,19,,229,,388,,115,,293,,394,,9647,,10465,,,-,3,,8,,105,,145,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2018,35,,-,0,,2,,1,,17,,,-,30,,76,,947,,1151,,,-,0,,2,,11,,17,,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2018,35,,-,0,,3,,16,,28,,21,,112,,149,,3866,,3547,,,-,0,,2,,7,,29,,"NEVADA
(39.491833, -117.070159)",
IOWA,2018,35,,-,4,,17,,142,,193,,1,,88,,107,,2868,,2255,,,-,0,,1,,,-,2,,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2018,35,,-,1,,669,,281,,,-,164,,175,,280,,5494,,6227,,,-,0,,7,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
COLORADO,2018,35,16,,10,,22,,358,,330,,,-,160,,260,,5128,,5470,,,-,2,,5,,74,,59,,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2018,35,,-,4,,9,,149,,99,,278,,252,,947,,8804,,7460,,,-,2,,6,,81,,135,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MONTANA,2018,35,,-,2,,7,,52,,77,,16,,20,,36,,743,,484,,,-,0,,2,,13,,18,,"MONTANA
(47.062617, -109.430168)",
GUAM,2018,35,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"GUAM
(13.3532, 144.653198)",
DIST. OF COL.,2018,35,,-,1,,6,,36,,34,,,-,71,,147,,1417,,3085,,,-,0,,3,,14,,12,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2018,35,1,,4,,11,,117,,142,,,-,87,,6873,,9291,,2480,,,-,1,,6,,16,,50,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2018,35,3,,2,,8,,99,,98,,135,,253,,401,,8034,,8071,,,-,2,,7,,89,,96,,"ARIZONA
(34.869712, -111.760902)",
OHIO,2018,35,12,,7,,29,,319,,270,,250,,460,,546,,15063,,15905,,3,,5,,13,,170,,145,,"OHIO
(40.056807, -82.405897)",
ALASKA,2018,35,2,,1,,6,,36,,62,,,-,38,,68,,1085,,1442,,,-,1,,2,,24,,12,,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2018,35,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2018,35,,N,0,,0,,,N,,N,,-,2,,14,,38,,100,,,-,0,,2,,12,,8,,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2018,35,11,,5,,31,,190,,167,,225,,217,,430,,7661,,8668,,2,,3,,21,,82,,102,,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2018,35,,-,10,,22,,335,,369,,,-,163,,201,,5236,,4812,,,-,2,,8,,76,,93,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2018,35,,N,0,,0,,,N,,N,192,,183,,309,,4954,,5568,,,-,1,,5,,50,,40,,"MISSISSIPPI
(32.738663, -89.537312)",
IDAHO,2018,35,2,,2,,8,,72,,104,,29,,19,,43,,634,,605,,2,,0,,2,,14,,16,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2018,35,,-,0,,12,,5,,126,,70,,231,,329,,7511,,7857,,,-,1,,5,,61,,47,,"LOUISIANA
(31.2931, -92.463284)",
TEXAS,2018,35,,N,0,,0,,,N,,N,849,,949,,1585,,29735,,31110,,3,,8,,66,,298,,233,,"TEXAS
(31.827233, -99.423022)",
KANSAS,2018,35,,-,2,,5,,58,,72,,51,,99,,131,,3422,,3014,,,-,0,,4,,14,,40,,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2018,35,,-,0,,22,,,-,421,,26,,139,,186,,4744,,4162,,,-,0,,7,,7,,79,,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2018,35,15,,11,,22,,373,,371,,257,,291,,336,,9975,,10218,,2,,5,,14,,175,,205,,"PENNSYLVANIA
(40.789676, -77.858055)",
W.N. CENTRAL,2018,35,12,,18,,41,,531,,1054,,369,,689,,833,,24014,,21264,,1,,5,,14,,175,,267,,,
MISSOURI,2018,35,7,,3,,13,,161,,179,,259,,279,,362,,9855,,8572,,1,,3,,10,,110,,96,,"MISSOURI
(38.636168, -92.566292)",
S. ATLANTIC,2018,35,16,,43,,62,,1395,,1576,,1048,,2158,,3046,,70429,,80266,,7,,24,,58,,823,,841,,,
NEW YORK CITY,2018,35,11,,20,,29,,664,,652,,303,,472,,589,,16615,,15706,,,-,3,,8,,104,,78,,,
OKLAHOMA,2018,35,,N,0,,0,,,N,,N,21,,132,,232,,4168,,6046,,1,,2,,19,,70,,74,,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2018,35,4,,45,,68,,1455,,1751,,214,,1507,,1698,,50689,,49443,,,-,1,,5,,34,,40,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2018,35,,-,2,,6,,64,,70,,13,,11,,24,,413,,355,,,-,0,,3,,17,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2018,35,,N,0,,0,,,N,,N,21,,370,,549,,10109,,15699,,,-,4,,11,,153,,155,,"ILLINOIS
(40.477092, -88.993221)",
E.S. CENTRAL,2018,35,6,,4,,12,,147,,118,,293,,682,,1054,,21560,,26300,,1,,8,,22,,284,,266,,,
