Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2018","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2018, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2017","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2017, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2018","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2018, flag","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2017","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis, Cum 2017, flag",Location 1,Location 2
WISCONSIN,2018,48,,-,0,,0,,,-,1,,1,,1,,5,,55,,85,,"WISCONSIN
(44.395526, -89.834513)",
MOUNTAIN,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MARYLAND,2018,48,,-,0,,1,,1,,1,,,-,0,,1,,5,,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
AMER. SAMOA,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MISSISSIPPI,2018,48,,-,0,,1,,1,,,-,,-,0,,0,,,-,4,,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2018,48,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
MID. ATLANTIC,2018,48,,-,0,,0,,,-,2,,1,,0,,3,,18,,30,,,
KENTUCKY,2018,48,,-,0,,0,,,-,2,,,-,0,,0,,,-,4,,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW ENGLAND,2018,48,,-,0,,0,,,-,1,,,-,0,,2,,17,,23,,,
ARKANSAS,2018,48,,-,0,,2,,4,,9,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2018,48,,-,0,,0,,,-,,-,,-,0,,1,,2,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW MEXICO,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2018,48,,-,0,,4,,31,,44,,3,,3,,21,,193,,260,,,
ILLINOIS,2018,48,,-,0,,1,,2,,1,,,-,0,,1,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2018,48,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2018,48,,-,0,,0,,,-,,-,,-,0,,2,,5,,3,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2018,48,,-,0,,1,,2,,2,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
PACIFIC,2018,48,,-,0,,0,,,-,,-,,-,0,,2,,5,,3,,,
MINNESOTA,2018,48,,-,0,,0,,,-,1,,,-,0,,1,,,-,31,,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2018,48,,-,0,,0,,,-,1,,,-,0,,2,,8,,14,,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2018,48,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2018,48,,-,0,,0,,,-,,-,1,,0,,3,,10,,8,,"NEW YORK
(42.826892, -75.544286)",
W.N. CENTRAL,2018,48,,-,0,,3,,14,,24,,,-,0,,3,,20,,51,,,
W.S. CENTRAL,2018,48,,-,0,,2,,6,,9,,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2018,48,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
E.N. CENTRAL,2018,48,,-,0,,1,,2,,2,,1,,1,,16,,119,,128,,,
IOWA,2018,48,,-,0,,1,,1,,,-,,-,0,,1,,6,,3,,"IOWA
(42.46942, -93.815856)",
IDAHO,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
OHIO,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2018,48,,-,0,,3,,11,,20,,,-,0,,2,,11,,14,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2018,48,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2018,48,,-,0,,0,,,-,,-,,-,0,,1,,6,,9,,"MAINE
(45.252223, -68.986647)",
PENNSYLVANIA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
PUERTO RICO,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2018,48,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGINIA,2018,48,,-,0,,1,,3,,,-,1,,0,,1,,3,,4,,"VIRGINIA
(37.542699, -78.45822)",
S. ATLANTIC,2018,48,,-,0,,1,,5,,2,,1,,0,,1,,11,,12,,,
GUAM,2018,48,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2018,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2018,49,,-,0,,2,,4,,9,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2018,49,,-,0,,3,,12,,20,,,-,0,,2,,11,,14,,"MISSOURI
(38.636168, -92.566292)",
C.N.M.I.,2018,49,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ILLINOIS,2018,49,,-,0,,1,,2,,1,,,-,0,,1,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
UTAH,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ALASKA,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
S. ATLANTIC,2018,49,,-,0,,1,,5,,2,,,-,0,,1,,11,,12,,,
E.N. CENTRAL,2018,49,,-,0,,1,,2,,2,,,-,1,,16,,122,,128,,,
KANSAS,2018,49,,-,0,,1,,2,,2,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
HAWAII,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
OHIO,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VERMONT,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,8,,7,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2018,49,,-,0,,0,,,-,1,,,-,0,,0,,,-,6,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
E.S. CENTRAL,2018,49,,-,0,,1,,4,,4,,,-,0,,1,,3,,13,,,
PENNSYLVANIA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2018,49,,-,0,,1,,3,,,-,,-,0,,1,,3,,4,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW ENGLAND,2018,49,,-,0,,0,,,-,1,,,-,0,,2,,17,,23,,,
RHODE ISLAND,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2018,49,,-,0,,0,,,-,,-,,-,0,,3,,10,,9,,"NEW YORK
(42.826892, -75.544286)",
IOWA,2018,49,,-,0,,1,,1,,,-,,-,0,,1,,6,,3,,"IOWA
(42.46942, -93.815856)",
WYOMING,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MID. ATLANTIC,2018,49,,-,0,,0,,,-,2,,,-,0,,3,,18,,31,,,
VIRGIN ISL.,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,2,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
COLORADO,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2018,49,,-,0,,0,,,-,1,,,-,0,,2,,8,,14,,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
NEW YORK CITY,2018,49,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2018,49,,-,0,,1,,1,,1,,,-,0,,1,,5,,,-,"MARYLAND
(39.290443, -76.612333)",
W.S. CENTRAL,2018,49,,-,0,,2,,6,,9,,,-,0,,0,,,-,,-,,
DELAWARE,2018,49,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,6,,9,,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2018,49,,-,0,,1,,1,,,-,,-,0,,0,,,-,4,,"MISSISSIPPI
(32.738663, -89.537312)",
MOUNTAIN,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2018,49,,-,0,,3,,15,,24,,,-,0,,3,,20,,51,,,
ALABAMA,2018,49,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"ALABAMA
(32.839182, -86.631125)",
AMER. SAMOA,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
CONNECTICUT,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
INDIANA,2018,49,,-,0,,0,,,-,,-,,-,0,,11,,64,,39,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2018,49,,-,0,,0,,,-,,-,,-,0,,2,,5,,3,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PACIFIC,2018,49,,-,0,,0,,,-,,-,,-,0,,2,,5,,3,,,
OKLAHOMA,2018,49,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
TENNESSEE,2018,49,,-,0,,1,,3,,2,,,-,0,,0,,,-,5,,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2018,49,,-,0,,0,,,-,1,,,-,1,,5,,57,,85,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2018,49,,-,0,,0,,,-,2,,,-,0,,0,,,-,4,,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2018,49,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2018,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2018,49,,-,0,,4,,32,,44,,,-,3,,21,,196,,261,,,
MINNESOTA,2018,49,,-,0,,0,,,-,1,,,-,0,,1,,,-,31,,"MINNESOTA
(46.357661, -94.793397)",
IDAHO,2018,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2018,50,,-,0,,1,,3,,,-,,-,0,,2,,4,,4,,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MONTANA,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2018,50,,-,0,,1,,2,,2,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
UTAH,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2018,50,,-,0,,0,,,-,,-,,-,0,,11,,65,,39,,"INDIANA
(39.76845, -86.156212)",
E.N. CENTRAL,2018,50,,-,0,,1,,2,,2,,,-,2,,16,,129,,128,,,
NEW ENGLAND,2018,50,,-,0,,0,,,-,1,,,-,0,,2,,17,,23,,,
W.N. CENTRAL,2018,50,,-,0,,3,,15,,24,,,-,0,,3,,20,,52,,,
S. ATLANTIC,2018,50,,-,0,,1,,5,,2,,,-,0,,2,,12,,12,,,
WISCONSIN,2018,50,,-,0,,0,,,-,1,,,-,1,,5,,63,,85,,"WISCONSIN
(44.395526, -89.834513)",
W.S. CENTRAL,2018,50,,-,0,,2,,6,,9,,,-,0,,0,,,-,,-,,
NEW YORK,2018,50,,-,0,,0,,,-,,-,,-,0,,3,,11,,10,,"NEW YORK
(42.826892, -75.544286)",
MID. ATLANTIC,2018,50,,-,0,,0,,,-,2,,,-,0,,3,,19,,32,,,
NEW YORK CITY,2018,50,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,
CONNECTICUT,2018,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2018,50,,-,0,,2,,4,,9,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2018,50,,-,0,,0,,,-,1,,,-,0,,2,,8,,14,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGIN ISL.,2018,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALASKA,2018,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
PUERTO RICO,2018,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2018,50,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2018,50,,-,0,,0,,,-,,-,,-,0,,1,,2,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2018,50,,-,0,,1,,1,,,-,,-,0,,0,,,-,4,,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2018,50,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2018,50,,-,0,,1,,2,,1,,,-,0,,1,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
